trainerID,place,pokename,pokelevel
0,0,Smeargle,60
1,0,Smeargle,30
2,0,Wailord,57
2,1,Vileplume,57
3,0,Armaldo,47
3,1,Cradily,47
4,0,Armaldo,56
4,1,Cradily,56
5,0,Carvanha,21
5,1,Numel,21
6,0,Sandslash,46
6,1,Ninetales,46
7,0,Weepinbell,24
7,1,Gloom,24
7,2,Ivysaur,24
8,0,Nidorino,39
8,1,Nidoking,39
9,0,Sandslash,39
9,1,Dugtrio,39
10,0,Rhyhorn,43
11,0,Persian,44
11,1,Ninetales,44
12,0,Ivysaur,42
12,1,Wartortle,42
12,2,Charmeleon,42
12,3,Charizard,42
13,0,Exeggutor,43
13,1,Cloyster,43
13,2,Arcanine,43
14,0,Parasect,43
14,1,Dewgong,43
14,2,Chansey,43
15,0,Kingler,43
15,1,Tentacruel,43
15,2,Blastoise,43
16,0,Bellsprout,43
16,1,Weepinbell,43
16,2,Victreebel,43
17,0,Ivysaur,24
17,1,Charmeleon,24
17,2,Wartortle,24
18,0,Charmeleon,27
19,0,Rapidash,36
20,0,Rapidash,39
21,0,Rapidash,43
22,0,Magneton,33
22,1,Quagsire,31
22,2,Exeggcute,31
23,0,Sandslash,35
24,0,Horsea,33
24,1,Horsea,33
24,2,Horsea,33
25,0,Electrode,35
25,1,Starmie,35
25,2,Ninetales,35
26,0,Horsea,34
26,1,Seadra,36
27,0,Butterfree,25
27,1,Bellossom,25
28,0,Dragonair,37
29,0,Poliwhirl,28
30,0,Seadra,37
31,0,Victreebel,32
31,1,Kingler,32
31,2,Flareon,32
32,0,Victreebel,35
32,1,Kingler,35
32,2,Flareon,35
33,0,Victreebel,39
33,1,Kingler,39
33,2,Flareon,39
34,0,Eevee,26
34,1,Vaporeon,22
34,2,Jolteon,22
34,3,Flareon,22
35,0,Goldeen,22
35,1,Seaking,24
36,0,Parasect,33
36,1,Golduck,35
37,0,Staryu,24
37,1,Starmie,26
38,0,Pikachu,36
38,1,Blastoise,32
39,0,Shellder,26
39,1,Cloyster,28
40,0,Marill,27
40,1,Wartortle,24
40,2,Wartortle,24
41,0,Rhyhorn,38
41,1,Charmeleon,35
41,2,Wartortle,35
42,0,Skiploom,25
42,1,Ninetales,25
43,0,Dratini,34
43,1,Dragonair,36
44,0,Bulbasaur,32
44,1,Ivysaur,32
44,2,Venusaur,32
45,0,Dragonair,37
46,0,Charmander,26
46,1,Bulbasaur,26
46,2,Squirtle,26
47,0,Dratini,34
47,1,Dratini,34
47,2,Dratini,34
48,0,Ivysaur,38
48,1,Starmie,38
49,0,Starmie,31
49,1,Starmie,31
49,2,Nidoqueen,33
50,0,Starmie,34
50,1,Starmie,34
50,2,Nidoqueen,36
51,0,Starmie,37
51,1,Starmie,37
51,2,Nidoqueen,39
52,0,Pidgeot,25
52,1,Electabuzz,27
53,0,Flareon,35
53,1,Tangela,35
53,2,Tauros,35
54,0,Manectric,43
54,1,Muk,43
55,0,Gloom,35
55,1,Azumarill,35
56,0,Zangoose,27
57,0,Wingull,18
57,1,Numel,18
57,2,Roselia,18
58,0,Wingull,26
58,1,Numel,26
58,2,Roselia,26
59,0,Pelipper,29
59,1,Numel,29
59,2,Roselia,29
60,0,Pelipper,32
60,1,Numel,32
60,2,Roselia,32
61,0,Pelipper,35
61,1,Camerupt,35
61,2,Roselia,35
62,0,Mawile,43
62,1,Sableye,43
63,0,Swellow,29
63,1,Trapinch,29
